MSE;MAE;R2
0.6336079965585136;0.6484444600250091;0.43185417964962747
0.42924286223951963;0.5397163149067699;0.6151050185268736
0.41328651972831126;0.5089148603270727;0.6294128071833649
0.2233104899492221;0.38257897833359783;0.799761173794896
0.1775803537405902;0.3485587145829874;0.8407666312577233
